pol	phi	weight
0.314382	-55.3209	1
0.337453	-89.3656	-0.065
0.349025	38.5091	1
0.342893	38.5091	-0.065
-0.351409	53.687	1
0.350523	54.4556	1
0.333032	39.6383	-0.065
0.342893	-145.524	-0.065
-0.328263	-0.17414	1
-0.317316	-0.17414	-0.065
0.31281	136.355	1
-0.331268	153.387	1
0.303466	33.2715	-0.065
0.306594	104.923	1
0.35017	42.0091	1
0.350589	74.1421	1
0.349025	-78.463	-0.065
-0.303247	-42.7431	1
-0.351773	106.313	1
-0.351595	-27.4598	1
-0.350347	37.8403	1
-0.317316	44.9819	-0.065
-0.311019	44.9819	-0.065
0.35017	-132.381	1
-0.33437	-165.3	-0.065
-0.323598	-165.3	1
-0.303247	-138.528	1
-0.322035	-158.236	-0.065
-0.344231	160.879	-0.065
0.329997	-158.927	1
0.345273	-158.927	-0.065
0.342893	-158.927	-0.065
-0.307919	-137.628	-0.065
-0.348694	-25.8038	-0.065
-0.331336	7.10608	-0.065
-0.306374	-118.847	1
0.350474	63.9824	-0.065
0.328399	34.7988	1
0.328465	-98.7708	1
0.35017	-45.9827	-0.065
0.31281	-45.9827	-0.065
0.31281	-45.9827	-0.065
0.306594	50.5007	1
0.350126	79.5855	-0.065
-0.31574	93.2673	-0.065
-0.335861	94.3908	-0.065
-0.318893	94.3908	-0.065
-0.338788	-107.249	-0.065
0.327312	8.98404	1
0.305035	9.78364	1
0.349486	-20.3045	-0.065
-0.351409	-61.5122	1
0.346365	94.6601	1
-0.347717	-176.273	-0.065
-0.303247	-163.376	-0.065
0.328465	43.1344	1
0.31281	43.1344	-0.065
0.344113	-87.9149	1
0.325373	-87.9149	-0.065
