,toybin0000
1040,0.492567
1041,0.637607
1042,0.443515
1043,0.371202
1044,0.289295
1045,0.289295
1046,0.396226
1047,0.524016
1048,0.40944
1049,0.354418
1050,0.396809
1051,0.431671
1052,0.410523
1053,0.58943
1054,0.581815
1055,0.202395
1056,0.256099
1057,0.230663
1058,0.305496
1059,0.495277
1060,0.307514
1061,0.254765
1062,0.418375
1063,0.418934
1064,0.356593
1065,0.35567
1066,0.544283
1067,0.547715
1068,0.508197
1069,0.519599
1070,0.508151
1071,0.444017
1072,0.366748
1073,0.437934
1074,0.55924
1075,0.470076
1076,0.467693
1077,0.5212
1078,0.36313
1079,0.492186
1080,0.298695
1081,0.448098
1082,0.379328
1083,0.435855
1084,0.49644
1085,0.349523
1086,0.492295
1087,0.468695
1088,0.252321
1089,0.126816
1090,0.141006
1091,0.287396
1092,0.212247
1093,0.300361
1094,0.42308
1095,0.42308
1096,0.425738
1097,0.464467
1098,0.460516
1099,0.36349
1100,0.407354
1101,0.569756
1102,0.230998
1103,0.24257
1104,0.235457
1105,0.235457
1106,0.114081
1107,0.187748
1108,0.142837
1109,0.162154
1110,0.228338
1111,0.382951
1112,0.592978
1113,0.469037
1114,0.449594
1115,0.361815
1116,0.474195
1117,0.454869
1118,0.401384
1119,0.284759
1120,0.257639
1121,0.184871
1122,0.430954
1123,0.365349
1124,0.438775
1125,0.349125
1126,0.507638
1127,0.476531
1128,0.251354
1129,0.353594
1130,0.462619
1131,0.404089
1132,0.404089
1133,0.372882
1134,0.41978
1135,0.389874
1136,0.389909
1137,0.391332
1138,0.379872
1139,0.398826
1140,0.39961
1141,0.388075
1142,0.381284
1143,0.384875
1144,0.414583
1145,0.372324
1146,0.533777
1147,0.32014
1148,0.221968
1149,0.441995
1150,0.356333
1151,0.4591
1152,0.382965
1153,0.348149
1154,0.413099
1155,0.356935
1156,0.418661
1157,0.399794
1158,0.367786
1159,0.360268
1160,0.366591
1161,0.307451
1162,0.338093
1163,0.541221
1164,0.595567
1165,0.430208
1166,0.318011
1167,0.488139
1168,0.345997
1169,0.361735
1170,0.272803
1171,0.462929
1172,0.470503
1173,0.460018
1174,0.486984
1175,0.395278
1176,0.584651
1177,0.231206
1178,0.306108
1179,0.298958
1180,0.411692
1181,0.428548
1182,0.263574
1183,0.50062
1184,0.340525
1185,0.355424
1186,0.413918
1187,0.418185
1188,0.417065
1189,0.418588
1190,0.404815
1191,0.364492
1192,0.369394
1193,0.493971
1194,0.374047
1195,0.426328
1196,0.487401
1197,0.448739
1198,0.53937
1199,0.546968
1200,0.381752
1201,0.573791
1202,0.327606
1203,0.465704
1204,0.433849
1205,0.31412
1206,0.493805
1207,0.390538
1208,0.379375
1209,0.54579
1210,0.489497
1211,0.495113
1212,0.352926
1213,0.421584
1214,0.421584
1215,0.372817
1216,0.537128
1217,0.392687
1218,0.404213
1219,0.486913
1220,0.346848
1221,0.566257
1222,0.385676
1223,0.551293
1224,0.453601
1225,0.332426
1226,0.391247
1227,0.468177
1228,0.474229
1229,0.155516
1230,0.140083
1231,0.239091
1232,0.244622
1233,0.52059
1234,0.532636
1235,0.558661
1236,0.594664
1237,0.555735
1238,0.541093
1239,0.445172
1240,0.443013
1241,0.430306
1242,0.417748
1243,0.388422
1244,0.386684
1245,0.433195
1246,0.459512
1247,0.330139
1248,0.355845
1249,0.443194
1250,0.225709
1251,0.221912
1252,0.221912
1253,0.300074
1254,0.332846
1255,0.458335
1256,0.28622
1257,0.28622
1258,0.312911
1259,0.315047
1260,0.4979
1261,0.309324
1262,0.330202
1263,0.604691
1264,0.167916
1265,0.254393
1266,0.270713
1267,0.252389
1268,0.192017
1269,0.312149
1270,0.446152
1271,0.35344
1272,0.416171
1273,0.490912
1274,0.504152
1275,0.376364
1276,0.379054
1277,0.541582
1278,0.551028
1279,0.41502
1280,0.282105
1281,0.215709
1282,0.612164
1283,0.577251
1284,0.631326
1285,0.616451
1286,0.583579
1287,0.62056
1288,0.30384
