pol	phi	weight
-0.338205	-66.3048	-0.047619
0.337465	-152.709	1
-0.338205	36.1333	1
0.319331	-146.443	1
-0.346811	179.109	1
-0.352391	-94.5106	1
0.336508	-147.125	1
0.346878	178.429	1
-0.341199	-101.992	-0.047619
-0.352391	-72.6986	-0.047619
0.322447	-3.75703	-0.047619
0.325541	157.832	1
0.317765	135.021	1
0.340198	-95.0544	1
-0.338205	-3.88912	1
-0.354923	-98.3012	-0.047619
-0.348093	128.654	-0.047619
-0.353206	174.551	-0.047619
-0.344087	174.551	-0.047619
0.322439	-117.238	1
-0.330445	-165.535	-0.0380952
-0.342656	-178.558	1
-0.354414	-170.891	-0.047619
-0.33358	-125.8	1
-0.354923	34.6279	-0.047619
-0.330445	30.3701	1
-0.351468	124.164	1
0.334592	168.407	1
-0.354923	-96.9265	1
-0.332019	-168.316	-0.0380952
0.342525	-63.9162	-0.0380952
0.324166	-63.9162	1
0.321085	-168.934	1
-0.338205	19.2106	1
-0.351468	-133.756	1
-0.353206	-114.131	1
0.322599	-26.1069	1
0.34009	-166.295	-0.047619
0.346439	-169.075	1
-0.341199	-166.926	1
0.314866	-73.9146	-0.047619
-0.352153	-0.831664	1
-0.354762	50.6199	1
-0.336677	94.0245	-0.047619
-0.352391	-24.7564	1
0.343949	101.592	-0.047619
0.342525	-25.4889	-0.047619
0.328735	-25.4889	1
0.317983	162.946	-0.047619
0.324166	162.946	1
0.321085	-147.089	1
-0.354414	9.15927	1
0.344659	-9.50054	1
-0.346811	-63.2798	1
-0.349312	114	1
0.350319	-5.2174	-0.047619
0.328883	-5.2174	1
0.348852	123.26	1
-0.338205	-16.1374	-0.047619
-0.342656	-75.6742	1
0.350319	147.65	1
0.322642	61.0297	1
-0.344087	28.6435	1
0.340739	39.0521	-0.0666667
0.324213	-20.7305	1
0.327334	-20.7305	-0.047619
0.334974	-113.385	1
-0.354876	-163.507	1
-0.352391	-163.507	-0.0285714
-0.354414	-26.8081	-0.047619
0.343405	126.24	1
0.348852	179.558	1
0.342099	111.162	-0.047619
0.343405	-70.7889	-0.047619
0.346923	72.6836	1
0.346923	72.6836	-0.0714286
-0.346811	-78.5732	1
-0.341199	172.632	-0.047619
0.334974	-103.078	-0.0380952
0.325774	-40.4834	1
-0.346811	-130.075	-0.047619
-0.333533	-5.64729	1
0.350319	-100.663	-0.047619
-0.346811	155.286	-0.047619
-0.342656	-121.481	1
0.333474	17.8203	1
0.350319	154.757	1
0.340739	154.757	-0.047619
-0.354923	-76.8385	1
0.346923	146.269	1
-0.342656	25.0642	-0.0285714
-0.351468	-104.607	1
0.350319	60.0352	1
-0.348093	-103.317	-0.0285714
-0.349312	-83.3788	1
-0.351468	-103.287	-0.047619
0.343405	-130.722	1
-0.350444	-114.688	1
-0.339711	-88.3759	-0.047619
-0.332019	80.5939	1
