pol	phi	weight
0.281255	-109.818	-0.065
0.306312	102.265	1
0.279722	122.174	-0.065
0.284487	122.174	1
-0.323026	-98.5907	-0.065
-0.275305	-98.5907	1
-0.289801	-97.0607	1
0.252618	108.896	-0.065
-0.293426	-65.8467	-0.065
-0.259046	-65.8467	1
0.286158	163.75	1
0.287775	-19.9778	1
-0.283471	-106.632	-0.065
-0.257366	-106.632	1
-0.309834	-32.0881	-0.065
-0.265773	-32.0881	-0.065
0.276001	3.29958	-0.065
0.287775	-20.132	1
0.271551	15.6785	1
0.255896	-6.63541	-0.065
0.274806	158.252	1
-0.259046	53.7578	-0.065
0.281303	45.5662	1
-0.278476	99.5632	1
-0.27293	134.559	-0.065
-0.291769	104.339	-0.065
-0.290115	-14.5173	1
0.259117	-138.449	1
0.242782	-138.449	-0.065
-0.293426	-36.3058	-0.065
-0.274593	-36.3058	1
-0.304944	160.209	1
0.273177	-30.8071	1
0.268296	56.3102	1
-0.296729	-107.189	1
-0.306581	-82.7853	1
0.29422	170.295	1
-0.260731	99.2137	1
-0.281804	168.475	1
-0.257366	107.306	1
-0.286796	116.167	-0.065
-0.308193	61.1099	1
-0.293426	61.1099	-0.065
-0.264095	-65.3717	-0.065
-0.253999	-65.3717	-0.065
0.28345	-31.7771	-0.065
0.29422	-31.7771	1
0.254256	-31.7771	-0.065
-0.303307	58.1697	-0.065
0.26992	-116.497	-0.065
0.255896	78.4973	1
0.291002	-139.243	-0.065
0.26668	157.455	-0.065
-0.272209	12.9588	1
-0.288454	-127.889	1
-0.260731	-140.463	-0.065
0.297428	-57.8631	-0.065
0.280208	-117.709	1
0.268296	-117.709	-0.065
0.27643	95.2476	1
0.274806	95.2476	-0.065
-0.298375	-138.134	-0.065
0.265105	-138.498	1
-0.298375	-133.913	-0.065
0.278057	-103.74	-0.065
0.279678	-101.013	-0.065
-0.286796	166.588	-0.065
0.271551	-122.94	1
0.242782	134.1	1
-0.276831	-10.729	1
0.273177	123.031	1
0.254256	-96.6163	1
-0.290115	72.4895	-0.065
-0.300022	-0.212414	1
-0.308209	-0.212414	-0.065
0.255896	41.0967	-0.065
-0.283471	-161.045	-0.065
0.244419	-148.47	1
-0.298375	-68.7438	1
-0.257366	-158.861	-0.065
0.29261	146.104	-0.065
0.24606	146.104	1
0.282921	19.1297	1
0.242782	-153.95	-0.065
-0.301664	-176.388	-0.065
0.242782	172.485	-0.065
-0.295076	-138.137	-0.065
0.27134	-73.6019	1
0.252618	-124.027	-0.065
0.262137	-124.027	-0.065
-0.281804	51.1747	1
-0.276831	-51.2368	1
-0.260731	-80.777	1
0.27046	-101.059	1
0.262449	-101.059	-0.065
-0.298375	91.5819	1
0.27046	-86.589	-0.065
0.272081	-86.589	1
0.254893	171.963	1
-0.293426	-119.299	1
-0.265773	-119.299	-0.065
-0.276831	158.926	1
0.279404	-151.063	-0.065
0.261954	100.389	-0.065
-0.286796	-98.6097	1
0.272835	109.277	1
0.269589	139.619	1
0.268043	-16.5992	-0.065
-0.309834	-56.9386	-0.065
-0.293426	-56.9386	1
0.263546	105.213	-0.065
-0.306581	14.9503	1
-0.267439	-158.115	-0.065
-0.285132	-112.086	1
0.292475	-92.62	1
-0.269085	128.876	1
-0.283471	-69.1632	1
0.247077	-43.8164	1
0.282681	-161.289	1
0.277761	176.636	-0.065
0.253702	176.636	1
0.260322	31.3181	1
0.250389	-142.277	1
-0.296729	166.773	1
0.250389	-25.0565	1
-0.265773	-73.2951	-0.065
0.283616	-36.814	-0.065
0.258234	157.673	-0.065
-0.301522	19.4878	-0.065
-0.291738	163.795	1
-0.259386	-66.0791	-0.065
0.267396	-39.0913	-0.065
-0.275284	162.013	-0.065
-0.270445	162.013	1
-0.261048	88.6244	-0.065
0.254473	42.4269	1
0.296483	81.8313	1
0.250109	81.8313	-0.065
0.253382	-75.2989	-0.065
0.262114	-70.427	1
0.269864	-137.539	-0.065
0.248816	156.339	-0.065
-0.301217	-41.8222	-0.065
0.274673	179.307	-0.065
0.289469	179.307	-0.065
0.291108	111.053	-0.065
-0.271804	-10.6683	-0.065
-0.276734	-10.6683	1
-0.27016	109.611	1
-0.250969	-39.5135	1
0.271415	-171.516	-0.065
-0.301217	19.3056	1
0.287833	81.3233	-0.065
-0.265672	27.0404	-0.065
0.268373	-124.866	-0.065
0.297633	-176.562	1
-0.276734	-2.92746	-0.065
-0.255942	-2.92746	-0.065
-0.283301	-63.7828	-0.065
-0.259259	100.651	-0.065
-0.287878	154.524	1
0.24505	131.065	1
-0.297607	-162.636	1
-0.27481	36.0897	1
-0.268302	36.0897	-0.065
-0.249145	36.0897	-0.065
0.273502	-18.547	-0.065
0.253157	54.2846	1
0.251542	13.5084	-0.065
-0.257401	-45.3278	1
-0.252448	14.1776	1
-0.249145	-169.423	1
-0.278085	161.196	-0.065
-0.289502	-27.4495	-0.065
-0.294372	-27.4495	1
-0.287878	28.3591	1
0.292729	122.029	-0.065
-0.265303	-6.24578	-0.065
0.283144	-55.187	-0.065
0.24505	148.105	-0.065
0.257786	109.494	-0.065
-0.259052	43.122	1
-0.266775	43.122	-0.065
-0.256767	72.0016	-0.065
-0.262282	69.4647	1
-0.260684	143.074	1
0.289542	-18.9665	-0.065
0.254753	-18.9665	1
0.294315	22.1897	1
-0.287878	56.7961	1
0.260702	128.288	-0.065
-0.259052	-87.2542	1
0.273502	170.652	1
0.238563	93.5668	-0.065
0.251542	-15.034	1
-0.26573	-78.6893	-0.065
0.29619	-93.5369	1
0.259512	-93.5369	-0.065
-0.291626	-141.388	-0.065
-0.291626	-141.388	1
0.278546	64.9185	-0.065
0.243499	-78.4268	-0.065
-0.299843	97.2059	-0.065
-0.268954	-28.1076	-0.065
0.286593	-12.9566	-0.065
0.243499	19.348	1
-0.283357	33.156	1
-0.29492	-94.3272	-0.065
0.262449	-42.9963	1
0.289802	-42.9963	-0.065
0.28177	-42.9963	-0.065
-0.303115	122.797	-0.065
0.253275	-118.547	-0.065
0.291406	-66.4181	-0.065
0.275282	-66.4181	-0.065
0.293003	-21.8409	-0.065
-0.309603	-175.927	-0.065
-0.283357	-175.927	-0.065
-0.291626	-37.7954	1
-0.296562	-143.482	1
-0.260711	-143.482	1
0.253275	22.9598	1
0.276929	-86.7887	-0.065
-0.25233	-11.033	-0.065
-0.259037	-11.033	-0.065
-0.273493	-11.033	1
-0.255684	-56.7316	-0.065
0.288201	-97.0849	-0.065
-0.27838	-115.478	-0.065
-0.285016	-171.49	1
-0.276011	-19.3831	1
0.246757	-144.159	-0.065
0.258028	-23.1069	1
0.284989	-26.2817	1
0.291406	25.5892	-0.065
-0.275909	103.131	1
0.285944	-148.042	1
-0.279191	72.2372	1
-0.303573	-86.511	1
0.268089	73.8644	1
0.268089	-62.7744	1
-0.279191	171.674	-0.065
0.254054	143.264	-0.065
0.294005	-141.512	-0.065
0.27622	-141.512	1
-0.270987	144.329	1
-0.300359	-38.0726	1
-0.301972	-38.0726	-0.065
0.271342	155.667	-0.065
-0.250187	-54.9946	1
-0.282467	115.923	1
-0.253498	115.923	-0.065
-0.270987	-44.8825	1
-0.266349	163.488	-0.065
0.282709	51.1115	1
0.292395	173.565	1
-0.264865	-5.38052	1
0.292395	118.094	-0.065
0.269712	93.6121	1
-0.298746	80.3086	-0.065
-0.267834	-80.5701	-0.065
-0.287368	171.65	1
-0.289001	171.65	-0.065
-0.292257	-125.989	1
0.290787	70.9541	-0.065
0.264899	70.9541	1
0.252417	70.9541	-0.065
0.274597	99.4891	-0.065
-0.274264	36.1705	-0.065
