,toybin0000,toybin0001,toybin0002,toybin0003,toybin0004,toybin0005,toybin0006,toybin0007,toybin0008,toybin0009
87,-0.0838883,0.351407,0.655077,0.35889,0.13181,0.918961,0.539361,0.362488,-0.18535,0.376402
88,0.114292,-0.0326936,0.215678,0.668286,0.490678,0.849283,0.273784,0.638769,0.304816,0.437419
89,0.243312,0.328526,0.879916,0.272901,0.245263,0.65254,0.629273,0.50089,-0.183333,0.333877
90,0.459196,-0.230359,0.799057,0.8994,0.629421,0.502114,0.319879,0.213027,-0.0671386,0.626981
91,0.172146,0.536448,0.80437,0.107617,0.650952,0.745023,0.590397,0.777037,0.278219,0.622636
92,0.535204,0.0822121,0.486978,0.807118,0.747176,0.522427,0.127656,0.594792,-0.14913,0.272047
93,0.220413,0.124352,0.565532,0.730148,0.443628,0.819842,0.903402,0.295195,0.245867,0.0108301
94,0.269557,0.171998,0.71392,0.506115,0.405515,0.91702,-0.0673314,0.682404,0.291177,0.708678
95,0.45077,0.277357,0.431268,0.501355,0.484447,0.582698,0.418699,0.201387,-0.319696,0.30014
96,0.57753,0.245104,0.757233,0.548924,0.821864,0.826899,0.509405,0.599977,-0.326451,0.30757
97,0.119194,0.0384694,0.503941,0.520249,0.460767,0.844524,0.514017,0.525429,0.65691,0.886548
98,0.20051,-0.103293,0.603862,0.50715,0.345638,0.829584,0.813856,0.466827,-0.276348,-0.0572322
99,0.748347,-0.13651,0.480872,0.791571,0.389281,0.676817,0.00858742,0.794668,0.418966,0.203089
100,0.530493,0.211399,0.630289,0.370223,0.491542,0.675648,0.841195,0.0896241,0.341085,0.60967
101,0.476207,-0.097891,0.544854,0.731775,0.629155,0.617962,0.973352,0.834779,-0.0547581,0.622559
102,0.053938,0.3409,0.94936,0.55978,0.271322,0.777012,0.984369,0.262687,0.125297,0.289433
103,0.188914,0.203174,0.963645,0.812175,0.546635,0.512185,0.957269,0.634037,0.0291248,0.681553
104,0.215842,0.00565467,0.291236,0.29813,0.23339,0.822046,0.942621,0.283687,0.319591,0.614876
105,0.394134,0.240098,0.500362,0.746707,0.741524,0.380449,0.838395,0.696435,-0.076361,0.264036
106,0.279222,0.0242633,0.550931,0.709739,0.427815,0.849127,0.03029,0.303688,0.103095,0.342198
107,0.443093,0.287526,0.665271,0.80805,0.0508595,0.33969,0.872244,0.453491,0.0503403,0.379804
108,0.0602305,-0.209718,0.917256,0.458808,0.657626,0.503244,0.328211,0.510272,0.0349411,0.340161
109,0.229624,0.554157,0.89147,0.608644,0.402363,0.757094,0.550301,0.393516,0.192988,0.30479
