,ebin00costbin00,ebin00costbin01,ebin00costbin02,ebin00costbin03,ebin00costbin04,ebin00costbin05,ebin01costbin00,ebin01costbin01,ebin01costbin02,ebin01costbin03,ebin01costbin04,ebin01costbin05,ebin02costbin00,ebin02costbin01,ebin02costbin02,ebin02costbin03,ebin02costbin04,ebin02costbin05
86,-0.0215852,0.109579,-0.187654,-0.109257,0.0738874,-0.322342,-0.679834,-0.222287,-0.526467,0.177593,0.109629,0.0733902,0.305775,-0.157679,0.111879,-0.648942,0.116819,-0.563345
87,-0.793897,-0.602906,-0.13312,-0.553309,-0.412374,0.402776,-0.448823,-0.104317,-0.562964,0.311317,-0.432037,-0.0604095,-0.140792,0.501336,0.101053,-0.879952,0.312358,0.102595
88,-0.619828,0.00856833,0.496769,-0.0318108,0.294814,-0.114307,-0.419307,0.00280631,-0.514636,0.146003,-0.026589,-0.0643027,0.174543,0.168936,0.0332846,0.19219,-0.020045,-0.650715
89,-0.623414,-0.613828,-0.50165,-0.123525,-0.0780423,-0.169125,-0.738569,-0.208582,-0.390731,0.304512,-0.087055,0.16388,-0.068139,0.36801,-0.0771484,-0.795527,0.101839,-0.0878757
90,-0.460543,-0.426546,0.211509,-0.729969,0.180904,0.0066968,-0.780574,-0.00657905,-0.198026,-0.0390971,-0.605723,-0.172909,0.748541,0.437141,0.11508,-0.0658499,-0.0487955,-0.210649
91,-0.823301,-0.627432,-0.149229,-0.138646,-0.290668,-0.0871454,-0.943431,0.0402415,-0.409729,0.395245,-0.0990512,0.129559,0.00587479,0.120269,0.0632184,-0.826782,0.180869,-0.0807758
92,-0.238198,-0.574005,-0.449363,-0.27538,-0.157327,0.302699,-0.774235,-0.00151411,-0.181793,0.260708,0.123625,-0.060541,0.566383,0.334405,-0.0523504,-0.271926,0.0517,0.0834935
93,-0.783929,0.0932375,0.510223,-0.0822424,-0.113617,0.248969,-0.753573,-0.00138823,-0.263674,0.365994,-0.451339,0.00944775,-0.468871,0.116244,0.0424736,-0.828934,0.133112,-0.59577
94,-0.651079,0.184187,-0.531033,-0.0468426,-0.208207,0.463489,-0.439466,-0.188987,-0.76546,0.385882,-0.303791,0.139406,0.525452,-0.060099,-0.0239926,-0.847947,-0.0695144,0.305191
95,-0.891802,-0.669038,0.171351,-0.716276,-0.111261,0.557737,-0.711907,-0.231887,-0.430498,-0.0135696,-0.238294,0.0994446,0.58841,0.380387,0.164437,-0.00336271,0.307453,-0.871621
