,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,sigma,a[1],a[2],a[3],a[4],b[1],b[2],b[3],b[4],sigma_bkg,a_bkg[1],a_bkg[2],a_bkg[3],a_bkg[4],b_bkg[1],b_bkg[2],b_bkg[3],b_bkg[4]
1932,-1.83123,0.918739,0.569286,3.0,7.0,0.0,7.21443,-0.146736,0.0099938,-0.0370756,-0.104999,0.0356671,-0.0376638,0.0354061,-0.0722269,-0.107499,-0.0728563,-0.0116283,0.0161787,0.0756556,-0.121532,-0.153093,0.0565025,0.0828935,-0.0362869
1933,-2.41944,0.680299,0.569286,3.0,7.0,0.0,16.9124,-0.275824,0.11308,0.0828207,-0.0858963,0.0277496,-0.155075,-0.00528751,-0.0514455,0.0482912,-0.163483,0.0624228,-0.0541545,0.00441617,-0.0113082,-0.144365,-0.204842,-0.0148238,0.0717936
1934,-4.86361,0.76414,0.569286,3.0,7.0,0.0,14.1051,-0.408245,-0.0330926,-0.0315369,-0.0470344,0.0284006,0.00515202,0.125866,-0.0834996,-0.0743926,-0.585877,-0.00372552,-0.0237234,0.0959414,-0.111714,-0.0182637,0.10516,0.00944025,-0.0199391
1935,0.597414,1.0,0.569286,3.0,7.0,0.0,7.25984,-0.148522,0.085087,0.01021,-0.0597394,-0.0336047,-0.0580181,-0.051373,-0.155496,-0.037347,0.00406493,0.0418263,-0.0458001,0.0457873,-0.131509,-0.0271349,-0.0371125,0.0407904,0.0163202
1936,-3.91696,0.802269,0.569286,3.0,7.0,0.0,7.87148,-0.588027,0.0312079,0.0396116,-0.12863,-0.0131926,-0.0776185,-0.0327999,-0.0191407,0.102097,-0.350255,0.0267284,0.0466319,0.074837,0.0692724,-0.0654068,-0.00552861,0.0203459,-0.0225522
1937,-5.84013,0.888492,0.569286,3.0,7.0,0.0,13.652,-0.554008,0.0630441,-0.0709185,0.108854,-0.0679477,-0.0226064,0.0897812,0.00900301,-0.153351,-0.0290682,0.0169533,-0.014584,0.0348215,-0.16593,-0.136083,-0.0402377,-0.0673834,0.0325979
1938,-1.19477,0.999557,0.569286,3.0,7.0,0.0,10.8461,-0.220451,-0.0200544,0.0327199,-0.0965587,0.0256235,-0.0592129,-0.0140533,-0.0916211,-0.0695471,-0.239021,0.115157,0.0453097,0.148804,-0.0770153,-0.131786,0.00713581,-0.1045,0.0733354
1939,-2.02849,0.89982,0.569286,3.0,7.0,0.0,8.63002,0.0113581,0.120199,-0.0655291,0.00634625,-0.0268566,-0.0307403,0.107314,-0.115418,0.0113364,-0.327939,0.0233224,-0.0569598,-0.0525333,-0.00435057,-0.0929515,-0.0805021,0.0181608,-0.0747306
1940,-1.3928,0.681776,0.569286,3.0,7.0,0.0,16.1056,-0.354054,0.0126746,0.0961241,-0.0844129,0.0491915,-0.0852833,-0.0550862,-0.0271411,-0.0184253,-0.311656,0.0262052,-0.00573395,0.207695,-0.15288,-0.0850326,-0.0562883,-0.0617996,0.0645072
1941,-7.20802,0.646511,0.569286,3.0,7.0,0.0,13.8652,-0.31123,0.0475983,0.0902014,-0.116028,0.0755327,0.0491145,0.157768,-0.0838613,0.0814598,0.333651,0.061954,-0.0754854,0.131158,-0.169602,-0.112899,-0.0276279,0.0404064,-0.0234755
